,name,longitude,latitude,time,temp,humidity,cloudiness,wind_speed
337,Qandala,49.87,11.47,10800,85.29,68,2,3.58
338,Okhotsk,143.24,59.36,36000,40.04,85,97,13.2
339,Kedougou,-12.19,12.56,0,75.54,91,3,6.46
340,Kitimat,-128.69,54.02,-25200,51.8,57,90,2.71
341,Pemberton,116.03,-34.44,28800,60.01,67,97,3.0
342,Gizo,34.94,31.8,10800,69.57,78,20,4.7
343,La Seyne-sur-Mer,5.88,43.1,7200,61.86,77,0,4.7
344,Chuy,-53.46,-33.69,-10800,61.61,99,100,0.58
345,Batagay,134.64,67.65,36000,26.7,69,100,5.3
346,Gopalpur,89.13,24.18,21600,80.69,83,30,5.79
347,Oranjemund,16.43,-28.55,7200,58.47,80,0,10.45
348,Hlinsko,15.91,49.76,7200,56.62,87,90,3.36
349,Dhana,78.86,23.75,19800,72.19,90,95,19.84
350,Los Andes,-70.6,-32.83,-10800,47.34,66,75,8.05
351,Tuatapere,167.69,-46.13,46800,48.0,70,100,20.0
352,Terrace,-128.61,54.52,-25200,51.8,57,90,2.71
353,Alaca,34.84,40.17,10800,56.71,53,0,4.59
354,Vao,26.19,59.1,10800,44.33,84,0,13.96
355,Tual,132.75,-5.67,32400,79.53,83,98,16.55
356,Kargat,80.28,55.19,25200,43.52,76,12,17.78
357,East Hemet,-116.94,33.74,-25200,58.15,59,1,4.7
358,Luena,19.91,-11.78,3600,57.81,86,100,2.44
359,Mineros,-63.23,-17.12,-14400,73.4,88,75,18.34
360,Port Blair,92.75,11.67,19800,82.4,88,20,2.24
361,Richards Bay,32.06,-28.77,7200,63.95,78,38,8.95
362,Kulhudhuffushi,73.07,6.62,18000,82.94,74,100,8.01
363,Sao Joao da Barra,-41.05,-21.64,-10800,66.12,82,82,3.6
364,Puerto Suarez,-57.8,-18.96,-14400,83.58,50,23,7.78
365,Guayaramerin,-65.36,-10.82,-14400,76.55,76,33,1.3
366,Gatton,152.28,-27.56,36000,75.06,36,0,10.29
367,Half Moon Bay,-122.43,37.46,-25200,57.15,76,1,9.17
368,Karla,24.93,59.37,10800,44.02,87,40,14.99
369,Warrington,-2.59,53.39,3600,39.45,93,8,1.12
370,Itaituba,-55.99,-4.26,-10800,77.0,70,7,1.34
371,Rio Grande,-52.1,-32.03,-10800,64.99,95,82,10.0
372,Labuhan,115.51,-2.54,28800,92.44,47,57,2.57
373,Eureka,-124.16,40.8,-25200,50.0,93,1,8.05
374,Tura,100.22,64.27,25200,31.71,70,100,7.72
375,Mandera,41.86,3.94,10800,77.0,86,0,9.1
376,Dauphin,-100.04,51.15,-18000,39.2,80,90,0.98
377,Wattegama,80.68,7.35,19800,79.14,75,51,1.57
